Frequency,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily
7/18/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
7/19/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
7/20/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
7/21/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
7/22/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
7/23/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
7/24/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
7/25/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
7/26/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
7/27/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
7/28/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
7/29/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
7/30/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
7/31/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
8/1/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
8/2/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
8/3/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
8/4/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
8/5/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
8/6/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
8/7/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
8/8/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
8/9/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
8/10/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
8/11/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
8/12/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
8/13/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
8/14/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
8/15/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
8/16/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
8/17/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
8/18/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
8/19/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
8/20/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
8/21/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
8/22/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
8/23/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
8/24/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
8/25/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
8/26/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
8/27/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
8/28/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
8/29/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
8/30/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
8/31/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
9/1/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
9/2/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
9/3/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
9/4/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
9/5/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
9/6/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
9/7/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
9/8/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
9/9/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
9/10/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
9/11/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
9/12/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
9/13/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
9/14/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
9/15/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
9/16/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
9/17/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
9/18/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
9/19/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
9/20/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
9/21/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
9/22/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
9/23/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
9/24/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
9/25/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
9/26/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
9/27/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
9/28/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
9/29/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
9/30/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
10/1/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
10/2/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
10/3/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
10/4/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
10/5/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
10/6/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
10/7/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
10/8/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
10/9/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
10/10/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
10/11/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
10/12/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
10/13/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
10/14/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
10/15/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
10/16/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
10/17/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
10/18/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
10/19/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
10/20/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
10/21/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
10/22/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
10/23/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
10/24/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
10/25/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
10/26/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
10/27/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
10/28/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
10/29/1950,,,,,,,,,,4.5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
10/30/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
10/31/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
11/1/1950,,,,,1.5,,,,,4.5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
11/2/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
11/3/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
11/4/1950,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
11/5/1950,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
11/6/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
11/7/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
11/8/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
11/9/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
11/10/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
11/11/1950,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
11/12/1950,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
11/13/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
11/14/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
11/15/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
11/16/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
11/17/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
11/18/1950,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
11/19/1950,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
11/20/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
11/21/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
11/22/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
11/23/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
11/24/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
11/25/1950,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
11/26/1950,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
11/27/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
11/28/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
11/29/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
11/30/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,2.5,,,,,
12/1/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
12/2/1950,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
12/3/1950,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
12/4/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
12/5/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
12/6/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
12/7/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
12/8/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
12/9/1950,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
12/10/1950,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
12/11/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
12/12/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
12/13/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
12/14/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
12/15/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
12/16/1950,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
12/17/1950,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
12/18/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
12/19/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
12/20/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
12/21/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
12/22/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
12/23/1950,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
12/24/1950,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
12/25/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,,,,,,
12/26/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,,,,,,
12/27/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
12/28/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
12/29/1950,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
12/30/1950,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
12/31/1950,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
1/1/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,,,,,,
1/2/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
1/3/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
1/4/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
1/5/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
1/6/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
1/7/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
1/8/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
1/9/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
1/10/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
1/11/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
1/12/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
1/13/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
1/14/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
1/15/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
1/16/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
1/17/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
1/18/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
1/19/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
1/20/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
1/21/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
1/22/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
1/23/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
1/24/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
1/25/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
1/26/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
1/27/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
1/28/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
1/29/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
1/30/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
1/31/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
2/1/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
2/2/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
2/3/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
2/4/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
2/5/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
2/6/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
2/7/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
2/8/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
2/9/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
2/10/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
2/11/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
2/12/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
2/13/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
2/14/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
2/15/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
2/16/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
2/17/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
2/18/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
2/19/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
2/20/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
2/21/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
2/22/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
2/23/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
2/24/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
2/25/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
2/26/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
2/27/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
2/28/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
3/1/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
3/2/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
3/3/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
3/4/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
3/5/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
3/6/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
3/7/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
3/8/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
3/9/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
3/10/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
3/11/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
3/12/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
3/13/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
3/14/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
3/15/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
3/16/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
3/17/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
3/18/1951,,,,,,,,,,5,2,,,,,,,,5.11,,,,,,,,,,,,,,,,,,,
3/19/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
3/20/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
3/21/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
3/22/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
3/23/1951,,,,,1.5,,,,,5,2,,,,,,3,,5.11,,,,,,,,,,,,,,3,,,,,
